No. OT,Mes de Venta,Mes de Impartición,Cliente,Rubro,Programa,Promotor,  Contratado OT,Gastos OT,Contribución Marginal,% Contribución Marginal Real,No. Factura,Facturado,% vs OT,Fecha Deposito,Cobrado,% vs Factura,Por Cobrar,Por Facturar,Impartición,Desarrollo,Materiales,Arrendamientos,Viáticos,Alimentos y Otros,Total,Comprobación,Inicial,Final,% Contribución Marginal Inicial,Diferencia vs Inicial
109,Abril,,CAMINO REAL,Impartición,Conferencia,Antonio Villagrán,"10,000.00","2,000.00","8,000",80%,,,0%,,,#¡DIV/0!,0,"-10,000","2,000.00",,,,,,"2,000.00",0.00,X,X,73%,7.4%
110,Abril,,SERVICIO GEOLÓGICO MEXICANO,Impartición,Conferencia,Isaura Ruiz,"19,000.00","6,498.00","12,502",66%,,,0%,,,#¡DIV/0!,0,"-19,000","5,000.00",,998.00,,500.00,,"6,498.00",0.00,X,X,67%,-1.6%
111,Abril,,SCANIA,Impartición,Presentaciones Efectivas,Susana Hernández,"30,400.00","16,603.86","13,796",45%,,,0%,,,#¡DIV/0!,0,"-30,400","11,200.00",,"1,553.86",,"3,850.00",,"16,603.86",0.00,X,X,58%,-12.3%
112,Abril,,CÁMARA DE DIPUTADOS,Impartición,Diplomado G2,Daniel Solano,"270,000.00","89,942.40","180,058",67%,,,0%,,,#¡DIV/0!,0,"-270,000","64,020.00","18,000.00","7,922.40",,,,"89,942.40",0.00,X,,67%,0.0%
118,Abril,,BANCOMER,Desarrollo,Actualización Libro Electrónico,Daniel Solano,"76,000.00","12,600.00","63,400",83%,,,0%,,,#¡DIV/0!,0,"-76,000",,"12,600.00",,,,,"12,600.00",0.00,X,,83%,0.0%
119,Abril,,BANCOMER,Impartición,Certificación Gobierno,Daniel Solano,"121,000.00","12,000.00","109,000",90%,,,0%,,,#¡DIV/0!,0,"-121,000",,"12,000.00",,,,,"12,000.00",0.00,X,,90%,0.0%
120,Abril,,CMR,Impartición,LTO Virtual,Karen Sola,"114,240.00","31,615.12","82,625",72%,,,0%,,,#¡DIV/0!,0,"-114,240","20,000.00","2,000.00",258.12,"9,357.00",,,"31,615.12",0.00,X,,72%,0.0%
121,Abril,,CMR,Impartición,Diplomado Gestión,Karen Sola,"213,696.00","64,929.50","148,767",70%,,,0%,,,#¡DIV/0!,0,"-213,696","48,000.00",,469.50,"11,460.00",,"5,000.00","64,929.50",0.00,X,,70%,0.0%
122,Mayo,,UPL AGRO,Impartición,Proceso de coaching Ejecutivo,Fabiola Galvan,"48,491.38","26,400.00","22,091",46%,,,0%,,,#¡DIV/0!,0,"-48,491","26,400.00",,,,,,"26,400.00",0.00,X,,46%,0.0%
123,Mayo,,NUBAJ,Impartición,Team building,Antonio Villagrán,"226,800.00","72,789.44","154,011",68%,,,0%,,,#¡DIV/0!,0,"-226,800","63,200.00",,"9,589.44",,,,"72,789.44",0.00,X,X,68%,-0.5%
124,Mayo,,LUFTHANSA,Consultoría,Evaluación de Potencial,Fabiola Galvan,"50,000.00","31,732.00","18,268",37%,,,0%,,,#¡DIV/0!,0,"-50,000","30,000.00",,180.00,"1,552.00",,,"31,732.00",0.00,X,,37%,0.0%
125,Mayo,,FUNDACIÓN DONDE,Impartición,Calificación de Cartera,Karen Sola,"80,270.50","34,468.25","45,802",57%,,,0%,,,#¡DIV/0!,0,"-80,271","16,800.00","7,000.00","2,397.75",,"8,270.50",,"34,468.25",0.00,X,X,53%,3.6%
126,Mayo,,VEOLIA,Desarrollo,Diplomado New Generation Leaders,Karen Sola,"118,000.00","46,900.00","71,100",60%,,,0%,,,#¡DIV/0!,0,"-118,000",,"46,900.00",,,,,"46,900.00",0.00,X,,60%,0.0%
127,Mayo,,VEOLIA,Impartición,Diplomado New Generation Leaders,Karen Sola,"483,450.00","189,865.00","293,585",61%,,,0%,,,#¡DIV/0!,0,"-483,450",,"112,500.00","9,465.00","67,900.00",,,"189,865.00",0.00,X,,61%,0.0%
128,Mayo,,VEOLIA,Impartición,Evaluación Final,Karen Sola,"25,000.00","6,900.00","18,100",72%,,,0%,,,#¡DIV/0!,0,"-25,000","2,400.00","4,500.00",,,,,"6,900.00",0.00,X,,72%,0.0%
129,Mayo,,VEOLIA,Impartición,Evaluación Inicial,Karen Sola,"45,000.00","17,650.00","27,350",61%,,,0%,,,#¡DIV/0!,0,"-45,000","2,400.00","15,250.00",,,,,"17,650.00",0.00,X,,61%,0.0%
130,Mayo,,PRIVALIA,Impartición,Coaching Ejecutivo,Yefte Hernández,"35,000.00","11,468.70","23,531",67%,,,0%,,,#¡DIV/0!,0,"-35,000","11,000.00",,468.70,,,,"11,468.70",0.00,X,,67%,0.0%
131,Mayo,,INCAN,Impartición,Planeación Estratégica,Daniel Solano,"60,000.00","18,295.00","41,705",70%,,,0%,,,#¡DIV/0!,0,"-60,000","12,000.00","3,000.00","3,295.00",,,,"18,295.00",0.00,X,,70%,0.0%
132,Mayo,,EBC,Impartición,Congreso San Luis,Bajío,0.00,"2,550.00","-2,550",0%,,,0%,,,0%,0,0,"2,550.00",,,,,,"2,550.00",0.00,,X,0%,0.0%
133,Junio,,LUFTHANSA,Consultoría,Evaluación de Potencial,Fabiola Galvan,"5,000.00","3,000.00","2,000",40%,,,0%,,,#¡DIV/0!,0,"-5,000","3,000.00",,,,,,"3,000.00",0.00,X,,40%,0.0%
134,Junio,,LUFTHANSA,Consultoría,Evaluación de Potencial,Fabiola Galvan,"10,000.00","6,000.00","4,000",40%,,,0%,,,#¡DIV/0!,0,"-10,000","6,000.00",,,,,,"6,000.00",0.00,X,,40%,0.0%
135,Junio,,BANOBRAS,Desarrollo,Desarrollo en Línea,Fabiola Galvan,"198,500.00","62,160.00","136,340",69%,,,0%,,,#¡DIV/0!,0,"-198,500",,"56,800.00",360.00,,,"5,000.00","62,160.00",0.00,X,,69%,0.0%
136,Junio,,SEDESO ,Desarrollo,Taller Emprendimiento,Fabiola Galvan,"65,000.00","19,000.00","46,000",71%,,,0%,,,#¡DIV/0!,0,"-65,000",,"19,000.00",,,,,"19,000.00",0.00,X,,71%,0.0%
137,Junio,,SEDESO ,Impartición,Taller Empendimiento,Fabiola Galvan,"750,000.00","226,307.80","523,692",70%,,,0%,,,#¡DIV/0!,0,"-750,000","180,000.00",,"46,307.80",,,,"226,307.80",0.00,X,,70%,0.0%
138,Junio,,SEDESO ,Impartición,Taller Empendimiento,Fabiola Galvan,"125,000.00","30,000.00","95,000",76%,,,0%,,,#¡DIV/0!,0,"-125,000","30,000.00",,,,,,"30,000.00",0.00,X,,76%,0.0%
139,Junio,,BANOBRAS,Impartición,Diplomado,Fabiola Galvan,"446,000.00","142,021.25","303,979",68%,,,0%,,,#¡DIV/0!,0,"-446,000","90,000.00","25,000.00","15,771.25",,"3,000.00","8,250.00","142,021.25",0.00,X,,68%,0.0%
140,Junio,,GRISI,Impartición,Administración de Proyectos,Yefte Hernández,"27,500.00","9,829.00","17,671",64%,,,0%,,,#¡DIV/0!,0,"-27,500","8,000.00",,"1,829.00",,,,"9,829.00",0.00,X,,64%,0.0%
141,Junio,,AMERICAN TOWER,Impartición,Innovación,Ivan Sandoval,"25,200.00","7,324.25","17,876",71%,,,0%,,,#¡DIV/0!,0,"-25,200","4,000.00",,"2,824.25",,,500.00,"7,324.25",0.00,X,,71%,0.0%
142,Junio,,AMERICAN TOWER,Impartición,Conferencia Innovación,Ivan Sandoval,"18,000.00","4,339.00","13,661",76%,,,0%,,,#¡DIV/0!,0,"-18,000","3,000.00","1,339.00",,,,,"4,339.00",0.00,X,,76%,0.0%
143,Junio,,AFORE XXI,Impartición,Redacción Ejecutiva,Yefte Hernández,"56,800.00","21,923.60","34,876",61%,,,0%,,,#¡DIV/0!,0,"-56,800","8,800.00","4,500.00","1,792.60","6,831.00",,,"21,923.60",0.00,X,,61%,0.0%
144,Junio,,VEOLIA,Impartición,Capacitación de Mentores,Karen Sola,0.00,"8,722.00","-8,722",0%,,,0%,,,#¡DIV/0!,0,0,"8,722.00",,,,,,"8,722.00",0.00,X,,0%,0.0%
145,Junio,,DELEGACIÓN CUAUHTÉMOC,Impartición,Ortografía y Redacción,Antonio Villagrán,"29,000.00","11,034.40","17,966",62%,,,0%,,,#¡DIV/0!,0,"-29,000","10,000.00",,"1,034.40",,,,"11,034.40",0.00,X,,62%,0.0%
146,Junio,,DELEGACIÓN CUAUHTÉMOC,Impartición,Comunicación Asertiva,Antonio Villagrán,"43,500.00","16,034.40","27,466",63%,,,0%,,,#¡DIV/0!,0,"-43,500","15,000.00",,"1,034.40",,,,"16,034.40",0.00,X,,63%,0.0%
147,Junio,,DELEGACIÓN CUAUHTÉMOC,Impartición,Gestión de Archivos,Antonio Villagrán,"43,500.00","16,034.40","27,466",63%,,,0%,,,#¡DIV/0!,0,"-43,500","15,000.00",,"1,034.40",,,,"16,034.40",0.00,X,,63%,0.0%
148,Junio,,DELEGACIÓN CUAUHTÉMOC,Impartición,Habilidades de Comunicación,Antonio Villagrán,"29,000.00","11,034.40","17,966",62%,,,0%,,,#¡DIV/0!,0,"-29,000","10,000.00",,"1,034.40",,,,"11,034.40",0.00,X,,62%,0.0%
149,Junio,,DELEGACIÓN CUAUHTÉMOC,Impartición,Manual de Procedimientos,Antonio Villagrán,"29,000.00","11,034.40","17,966",62%,,,0%,,,#¡DIV/0!,0,"-29,000","10,000.00",,"1,034.40",,,,"11,034.40",0.00,X,,62%,0.0%
150,Junio,,DELEGACIÓN CUAUHTÉMOC,Impartición,Normatividad Riesgos,Antonio Villagrán,"29,000.00","11,034.40","17,966",62%,,,0%,,,#¡DIV/0!,0,"-29,000","10,000.00",,"1,034.40",,,,"11,034.40",0.00,X,,62%,0.0%
151,Junio,,DELEGACIÓN CUAUHTÉMOC,Impartición,Abuso Infantil,Antonio Villagrán,"43,500.00","16,034.40","27,466",63%,,,0%,,,#¡DIV/0!,0,"-43,500","15,000.00",,"1,034.40",,,,"16,034.40",0.00,X,,63%,0.0%
152,Junio,,DELEGACIÓN CUAUHTÉMOC,Impartición,CENDIS,Antonio Villagrán,"43,500.00","15,689.60","27,810",64%,,,0%,,,#¡DIV/0!,0,"-43,500","15,000.00",,689.60,,,,"15,689.60",0.00,X,,64%,0.0%
153,Junio,,DELEGACIÓN CUAUHTÉMOC,Impartición,Iluminación Publica,Antonio Villagrán,"29,000.00","11,034.40","17,966",62%,,,0%,,,#¡DIV/0!,0,"-29,000","10,000.00",,"1,034.40",,,,"11,034.40",0.00,X,,62%,0.0%
154,Junio,,DELEGACIÓN CUAUHTÉMOC,Impartición,LEY LASSP,Antonio Villagrán,"29,000.00","10,689.60","18,310",63%,,,0%,,,#¡DIV/0!,0,"-29,000","10,000.00",,689.60,,,,"10,689.60",0.00,X,,63%,0.0%
155,Junio,,DELEGACIÓN CUAUHTÉMOC,Impartición,Aplicación del Procedimiento CESAC,Antonio Villagrán,"29,000.00","10,689.60","18,310",63%,,,0%,,,#¡DIV/0!,0,"-29,000","10,000.00",,689.60,,,,"10,689.60",0.00,X,,63%,0.0%
156,Junio,,DELEGACIÓN CUAUHTÉMOC,Impartición,Habilidades Institucionales,Antonio Villagrán,"43,500.00","16,034.40","27,466",63%,,,0%,,,#¡DIV/0!,0,"-43,500","15,000.00",,"1,034.40",,,,"16,034.40",0.00,X,,63%,0.0%
157,Junio,,DELEGACIÓN CUAUHTÉMOC,Impartición,Materia de Construcción,Antonio Villagrán,"29,000.00","10,689.60","18,310",63%,,,0%,,,#¡DIV/0!,0,"-29,000","10,000.00",,689.60,,,,"10,689.60",0.00,X,,63%,0.0%
158,Junio,,CODERE,Impartición,Diplomado Capsula 1,Antonio Villagrán,"21,038.96","6,233.50","14,805",70%,,,0%,,,#¡DIV/0!,0,"-21,039","3,600.00",,247.50,,"2,386.00",,"6,233.50",0.00,X,,70%,0.0%
159,Junio,,CODERE,Impartición,Diplomado Capsula 2,Antonio Villagrán,"21,038.96","6,233.50","14,805",70%,,,0%,,,#¡DIV/0!,0,"-21,039","3,600.00",,247.50,,"2,386.00",,"6,233.50",0.00,X,,70%,0.0%
160,Junio,,CODERE,Impartición,Diplomado Capsula 3,Antonio Villagrán,"21,038.96","6,233.50","14,805",70%,,,0%,,,#¡DIV/0!,0,"-21,039","3,600.00",,247.50,,"2,386.00",,"6,233.50",0.00,X,,70%,0.0%
161,Junio,,CODERE,Impartición,Diplomado Capsula 4,Antonio Villagrán,"21,038.96","6,233.50","14,805",70%,,,0%,,,#¡DIV/0!,0,"-21,039","3,600.00",,247.50,,"2,386.00",,"6,233.50",0.00,X,,70%,0.0%
162,Junio,,CODERE,Impartición,Diplomado Capsula 5,Antonio Villagrán,"21,038.96","6,233.50","14,805",70%,,,0%,,,#¡DIV/0!,0,"-21,039","3,600.00",,247.50,,"2,386.00",,"6,233.50",0.00,X,,70%,0.0%
163,Junio,,CODERE,Impartición,Diplomado M1,Antonio Villagrán,"147,272.73","48,807.50","98,465",67%,,,0%,,,#¡DIV/0!,0,"-147,273","27,300.00",,"2,419.50","19,088.00",,,"48,807.50",0.00,X,,67%,0.0%
164,Junio,,CODERE,Impartición,Diplomado M2,Antonio Villagrán,"63,116.88","19,483.50","43,633",69%,,,0%,,,#¡DIV/0!,0,"-63,117","11,700.00",,625.50,,"7,158.00",,"19,483.50",0.00,X,,69%,0.0%
165,Junio,,CODERE,Impartición,Diplomado M3,Antonio Villagrán,"105,194.81","33,555.50","71,639",68%,,,0%,,,#¡DIV/0!,0,"-105,195","21,000.00",,625.50,"11,930.00",,,"33,555.50",0.00,X,,68%,0.0%
166,Junio,,CODERE,Impartición,Diplomado M4,Antonio Villagrán,"105,194.81","33,555.50","71,639",68%,,,0%,,,#¡DIV/0!,0,"-105,195","21,000.00",,625.50,"11,930.00",,,"33,555.50",0.00,X,,68%,0.0%
167,Junio,,CODERE,Impartición,Diplomado M5,Antonio Villagrán,"14,025.97","4,097.50","9,928",71%,,,0%,,,#¡DIV/0!,0,"-14,026","2,400.00",,73.50,"1,624.00",,,"4,097.50",0.00,X,,71%,0.0%
168,Junio,,FRACSA ALLOYS,Impartición,Evaluación de Potencial,Fabiola Galvan,"5,000.00","3,000.00","2,000",40%,,,0%,,,#¡DIV/0!,0,"-5,000","3,000.00",,,,,,"3,000.00",0.00,X,,40%,0.0%
169,Junio,,SAT,Impartición,Derivados,Antonio Villagrán,"48,000.00","11,200.00","36,800",77%,,,0%,,,#¡DIV/0!,0,"-48,000","11,200.00",,,,,,"11,200.00",0.00,X,,77%,0.0%
170,Junio,,FIANZAS ATLAS,Impartición,Estados Financieros,Yefte Hernández,"29,500.00","11,946.60","17,553",60%,,,0%,,,#¡DIV/0!,0,"-29,500","6,000.00","2,000.00","1,546.60","1,800.00",,600.00,"11,946.60",0.00,X,,60%,0.0%
171,Junio,,AMERICAN TOWER,Impartición,Administración del Tiempo,Ivan Sandoval,"30,000.00","11,255.00","18,745",62%,,,0%,,,#¡DIV/0!,0,"-30,000","9,000.00",,"2,255.00",,,,"11,255.00",0.00,X,,62%,0.0%
172,Junio,,AMERICAN TOWER,Impartición,Comunicación ejecutiva,Ivan Sandoval,"45,000.00","17,755.00","27,245",61%,,,0%,,,#¡DIV/0!,0,"-45,000","14,000.00","1,500.00","2,255.00",,,,"17,755.00",0.00,X,,61%,0.0%
173,Julio,,STENDHAL,Desarrollo,Certificación de la fuerza de ventas,Yefte Hernández,"117,599.59","70,150.00","47,450",40%,,,0%,,,#¡DIV/0!,0,"-117,600",,"70,150.00",,,,,"70,150.00",0.00,X,,40%,0.0%
174,Julio,,STENDHAL,Desarrollo,Certificación de la fuerza de ventas,Yefte Hernández,"343,477.98","204,890.00","138,588",40%,,,0%,,,#¡DIV/0!,0,"-343,478",,"204,890.00",,,,,"204,890.00",0.00,X,,40%,0.0%
175,Julio,,BOSCH,Impartición,Líderes Coaches,Fabiola Galvan,"166,350.00","53,700.00","112,650",68%,,,0%,,,#¡DIV/0!,0,"-166,350","38,400.00",,,,"15,300.00",,"53,700.00",0.00,X,,67%,0.8%
176,Julio,,BOSCH,Consultoría,Prueba Lúmina,Fabiola Galvan,"27,900.00","9,520.00","18,380",66%,,,0%,,,#¡DIV/0!,0,"-27,900","7,340.00","2,000.00",180.00,,,,"9,520.00",0.00,X,,66%,0.0%
177,Julio,,BOSCH,Desarrollo,Manual del instructor,Fabiola Galvan,"35,600.00","14,261.94","21,338",60%,,,0%,,,#¡DIV/0!,0,"-35,600",,"9,000.00","5,261.94",,,,"14,261.94",0.00,X,,60%,0.0%
178,Julio,,BOSCH,Consultoría,Sesiones de Retro,Fabiola Galvan,"31,150.00","9,700.00","21,450",69%,,,0%,,,#¡DIV/0!,0,"-31,150","6,400.00",,,,"3,300.00",,"9,700.00",0.00,X,,69%,0.0%
179,Julio,,BOSCH,Impartición,Líderes Coaches,Fabiola Galvan,"15,000.00","5,300.00","9,700",65%,,,0%,,,#¡DIV/0!,0,"-15,000","5,000.00",,,300.00,,,"5,300.00",0.00,X,,65%,0.0%
180,Julio,,SANTANDER,Impartición,Cultura Financiera,Antonio Villagrán,"103,200.00","16,841.75","86,358",84%,,,0%,,,#¡DIV/0!,0,"-103,200","12,000.00","3,000.00","1,841.75",,,,"16,841.75",0.00,X,,84%,0.0%
181,Julio,,SANTANDER,Impartición,Cultura Financiera,Antonio Villagrán,"67,200.00","13,841.75","53,358",79%,,,0%,,,#¡DIV/0!,0,"-67,200","12,000.00",,"1,841.75",,,,"13,841.75",0.00,X,,79%,0.0%
182,Julio,,BANOBRAS,Impartición,Administración de Plataformas,Fabiola Galvan,"24,000.00","4,000.00","20,000",83%,,,0%,,,#¡DIV/0!,0,"-24,000",,"3,000.00",,,"1,000.00",,"4,000.00",0.00,X,,83%,0.0%
183,Julio,,CAMINO REAL,Impartición,Programa de actualización para la dirección,Daniel Solano,"89,000.00","20,257.78","68,742",77%,,,0%,,,#¡DIV/0!,0,"-89,000","17,500.00","2,500.00",257.78,,,,"20,257.78",0.00,X,,77%,0.0%
184,Julio,,EBC,Desarrollo,Desarrollo de contenidos,Antonio Villagrán,"50,400.00","15,000.00","35,400",70%,,,0%,,,#¡DIV/0!,0,"-50,400",,"15,000.00",,,,,"15,000.00",0.00,X,,70%,0.0%
185,Julio,,,,,,,,0,#¡DIV/0!,,,#¡DIV/0!,,,#¡DIV/0!,0,0,,,,,,,0.00,0.00,,,,#¡DIV/0!
186,Julio,,,,,,,,0,#¡DIV/0!,,,#¡DIV/0!,,,#¡DIV/0!,0,0,,,,,,,0.00,0.00,,,,#¡DIV/0!
187,Julio,,,,,,,,0,#¡DIV/0!,,,#¡DIV/0!,,,#¡DIV/0!,0,0,,,,,,,0.00,0.00,,,,#¡DIV/0!
188,Julio,,,,,,,,0,#¡DIV/0!,,,#¡DIV/0!,,,#¡DIV/0!,0,0,,,,,,,0.00,0.00,,,,#¡DIV/0!
189,Julio,,,,,,,,0,#¡DIV/0!,,,#¡DIV/0!,,,#¡DIV/0!,0,0,,,,,,,0.00,0.00,,,,#¡DIV/0!
190,Julio,,,,,,,,0,#¡DIV/0!,,,#¡DIV/0!,,,#¡DIV/0!,0,0,,,,,,,0.00,0.00,,,,#¡DIV/0!
191,Julio,,,,,,,,0,#¡DIV/0!,,,#¡DIV/0!,,,#¡DIV/0!,0,0,,,,,,,0.00,0.00,,,,#¡DIV/0!
192,Julio,,,,,,,,0,#¡DIV/0!,,,#¡DIV/0!,,,#¡DIV/0!,0,0,,,,,,,0.00,0.00,,,,#¡DIV/0!
193,Julio,,,,,,,,0,#¡DIV/0!,,,#¡DIV/0!,,,#¡DIV/0!,0,0,,,,,,,0.00,0.00,,,,#¡DIV/0!
194,Julio,,,,,,,,0,#¡DIV/0!,,,#¡DIV/0!,,,#¡DIV/0!,0,0,,,,,,,0.00,0.00,,,,#¡DIV/0!
195,Julio,,,,,,,,0,#¡DIV/0!,,,#¡DIV/0!,,,#¡DIV/0!,0,0,,,,,,,0.00,0.00,,,,#¡DIV/0!
196,Julio,,,,,,,,0,#¡DIV/0!,,,#¡DIV/0!,,,#¡DIV/0!,0,0,,,,,,,0.00,0.00,,,,#¡DIV/0!
197,,,,,,,,,0,#¡DIV/0!,,,#¡DIV/0!,,,#¡DIV/0!,0,0,,,,,,,0.00,0.00,,,,#¡DIV/0!
,,,,,,,,,0,#¡DIV/0!,,,#¡DIV/0!,,,#¡DIV/0!,0,0,,,,,,,0.00,0.00,,,,0.72%
,,,TOTAL,,,,"19,879,922.92","5,372,688.18","14,507,234.74",73%,,"6,403,029.48",,,"5,341,203.73",,"1,204,550.75","13,334,168.44","3,244,882.00","1,371,364.00","342,907.45","251,651.00","104,105.65","35,548.22","5,350,458.32","-22,229.86",,,,
,,,,,,,,,,,,,,,,,,,61%,26%,6%,5%,2%,1%,100%,,,,,
